spend_tracker_by_category                               | organization_id:ID; category_id:ID; start_date:ISO8601DateTime; end_date:ISO8601DateTime
static_dashboards                                       | key:String
surveys                                                 | after:String; before:String; first:Int; last:Int; category:SurveyCategoryEnum
tasks                                                   | after:String; before:String; first:Int; last:Int
teams                                                   | permissions:LIST; order_by:TeamOrderInput; secure_order_by:FiltersTeamFilterOrder; where:FiltersTeamFilterInput; after:String; before:String; first:Int; last:Int
terms                                                   | after:String; before:String; first:Int; last:Int; where:FiltersTermFilterInput; order_by:FiltersTermFilterOrder
top_technology_tags                                     | after:String; before:String; first:Int; last:Int
tray_solution_instance_url                              | integration_id:ID; solution_instance_id:String
triage_inbox_items                                      | assigned_to_triage:Boolean; ordered_by_timer:Boolean; order_by:String; owner_usernames:LIST; priority:TriageInboxItemPriorityEnum; ccv2:Boolean; report_id:Int; report_substate:TriageInboxItemReportSubstateEnum; report_severity_rating:Boolean; report_title:String; team_handle:LIST; pod_name:String; view:TriageInboxItemViewEnum; running_validation_timer:Boolean; after:String; before:String; first:Int; last:Int
triage_pods                                             | after:String; before:String; first:Int; last:Int
users                                                   | cleared:Boolean; where:FiltersUserFilterInput; order_by:FiltersUserFilterOrder; after:String; before:String; first:Int; last:Int
weaknesses                                              | after:String; before:String; first:Int; last:Int; order_by:WeaknessOrder; distinct_by_name:Boolean; include_deprecated:Boolean
webhook                                                 | id:ID
workflow_runs                                           | where:FiltersWorkflowRunFilterInput; after:String; before:String; first:Int; last:Int
workflow_step_outcome_configurations                    | after:String; before:String; first:Int; last:Int
