AI GET    /ai_agent_default                                                      | Get AI agent default configuration | mode,language,model
Shield information POST   /shield_information_barriers/change_status                             | Add changed status of shield information barrier with specified ID | 
Shield information PUT    /shield_information_barrier_segments/{shield_information_barrier_segment_id} | Update shield information barrier segment with specified ID | shield_information_barrier_segment_id
Skills DELETE /files/{file_id}/metadata/global/boxSkillsCards                        | Remove Box Skill cards from file | file_id
Skills GET    /files/{file_id}/metadata/global/boxSkillsCards                        | List Box Skill cards on file | file_id
Skills POST   /files/{file_id}/metadata/global/boxSkillsCards                        | Create Box Skill cards on file | file_id
Skills PUT    /files/{file_id}/metadata/global/boxSkillsCards                        | Update Box Skill cards on file | file_id
Standard and Zones DELETE /storage_policy_assignments/{storage_policy_assignment_id}             | Unassign storage policy | storage_policy_assignment_id
Standard and Zones GET    /storage_policy_assignments                                            | List storage policy assignments | marker,resolved_for_type,resolved_for_id
Standard and Zones GET    /storage_policy_assignments/{storage_policy_assignment_id}             | Get storage policy assignment | storage_policy_assignment_id
Standard and Zones POST   /storage_policy_assignments                                            | Assign storage policy | 
Standard and Zones PUT    /storage_policy_assignments/{storage_policy_assignment_id}             | Update storage policy assignment | storage_policy_assignment_id
Task assignments DELETE /task_assignments/{task_assignment_id}                                 | Unassign task | task_assignment_id
Task assignments GET    /task_assignments/{task_assignment_id}                                 | Get task assignment | task_assignment_id
Task assignments GET    /tasks/{task_id}/assignments                                           | List task assignments | task_id
Task assignments POST   /task_assignments                                                      | Assign task | 
Task assignments PUT    /task_assignments/{task_assignment_id}                                 | Update task assignment | task_assignment_id
Tasks DELETE /tasks/{task_id}                                                       | Remove task | task_id
Tasks GET    /files/{file_id}/tasks                                                 | List tasks on file | file_id
Tasks GET    /tasks/{task_id}                                                       | Get task | task_id
Tasks POST   /tasks                                                                 | Create task | 
Tasks PUT    /tasks/{task_id}                                                       | Update task | task_id
Terms of service u GET    /terms_of_service_user_statuses                                        | List terms of service user statuses | tos_id,user_id
Terms of service u POST   /terms_of_service_user_statuses                                        | Create terms of service status for new user | 
Terms of service u PUT    /terms_of_service_user_statuses/{terms_of_service_user_status_id}      | Update terms of service status for existing user | terms_of_service_user_status_id
Transfer folders PUT    /users/{user_id}/folders/0                                             | Transfer owned folders | user_id,fields,notify
User avatars DELETE /users/{user_id}/avatar                                                | Delete user avatar | user_id
